original_name_variable;name_variable;original_type;class_variable_final;length_field_import;length_field_export;TRIPS;HAULS;CATCHES;RETAIN_LENGTHS;DISCARD_LENGTHS;SAMPLES_GROUPED;GEARS;ACCIDENTALS;MANDATORY_LANDINGS;LITTER
acronimo;acronimo;texto;factor;21;21;2;1;1;1;1;1;1;1;1;1
lance;lance;texto;factor;4;4;;2;2;2;2;2;2;2;2;2
arte;COD_ARTE;texto;factor;3;3;;3;3;;;;3;;;
fecha;FECHA;fecha;character;10;10;;4;4;;;;;;;
especie;COD_ESP;texto;factor;5;5;;;5;3;3;9;;3;3;
categoria;categoria;texto;factor;3;3;;;6;4;4;4;;;7;
peso;peso;doble;numeric;10;22;;;7;;;;;;;
peso_muestra;peso_muestra;doble;numeric;10;22;;;8;;;;;;6;
numero_ejemplares;numero_ejemplares;entero;integer;22;22;;;9;;;;;5;;
peso_descarte;peso_descarte;doble;numeric;10;22;;;10;;;;;;;
peso_muestra_descarte;peso_muestra_descarte;doble;numeric;10;22;;;11;;;;;;;
numero_ejemplares_descartado;numero_ejemplares_descartado;entero;integer;8;22;;;12;;;;;;;
TMC;todo_medido_captura;texto;factor;1;1;;;13;;;;;;;
TMD;todo_medido_descarte;texto;factor;1;1;;;14;;;;;;;
serie;serie;texto;factor;15;15;1;;;;;;;;;
fecha_inicio;fecha_inicio;texto;character;10;10;3;;;;;;;;;
fecha_fin;fecha_fin;texto;character;10;10;4;;;;;;;;;
puerto_salida;puerto_salida;texto;factor;4;4;5;;;;;;;;;
puerto_llegada;puerto_llegada;texto;factor;4;4;6;;;;;;;;;
puerto_descarga;puerto_descarga;texto;factor;4;4;7;;;;;;;;;
nombre;nombre;texto;character;30;30;8;;;;;;;;;
apellidos;apellidos;texto;factor;60;60;9;;;;;;;;;
codigo_ieo_buque;COD_BARCO;texto;factor;6;6;10;;;;;;;;;
codigo_ieo_origen;COD_ORIGEN;texto;factor;3;3;11;;;;;;;;;
unidadpes;unidadpes;texto;factor;11;11;12;;;;;;;;;
SEROBSMAROBS;observaciones;texto;character;1000;512;13;;;;;;;;;
horainicio;hora_inicio;hora;character;5;5;14;;;;;;;;;
horafin;hora_fin;hora;character;5;5;15;;;;;;;;;
FechaEmbarque;fecha_embarque;fecha;character;10;10;16;;;;;;;;;
FechaDesembarque;fecha_desembarque;fecha;character;10;10;17;;;;;;;;;
CODRECHAZO;COD_RECHAZO;texto;factor;1;1;18;;;;;;;;;
DESMARFECHARECHAZO;fecha_rechazo;texto;character;10;10;19;;;;;;;;;
puerto_base;puerto_base;texto;factor;4;4;20;;;;;;;;;
abertura_horizontal_arrastre;abertura_horizontal_arrastre;doble;numeric;5;22;;;;;;;16;;;
abertura_vertical_arrastre;abertura_vertical_arrastre;doble;numeric;5;22;;;;;;;15;;;
altura_cerco;altura_cerco;entero;integer;3;6;;;;;;;35;;;
altura_panio_enmalle;altura_panio_enmalle;entero;numeric;4;22;;;;;;;32;;;
ancho_anzuelos_palangre;ancho_anzuelos_palangre;doble;numeric;4;22;;;;;;;25;;;
ancho_panio_enmalle;ancho_panio_enmalle;doble;numeric;6;22;;;;;;;31;;;
anchura_cerco;anchura_cerco;entero;integer;3;6;;;;;;;36;;;
basura_codigo;basura_codigo;texto;factor;4;4;;;;;;;;;;3
borde_tolito;borde_tolito;texto;factor;7;;;;;;;;;;;
cable_largado_arrastre;cable_largado_arrastre;entero;integer;4;6;;;;;;;12;;;
calildad_edad;calildad_edad;texto;factor;1;;;;;;;;;;;
cantidad;cantidad;entero;integer;4;6;;;;;;;;;;5
